family,axis,value,samples,accuracy,macro_f1_all_classes,locomotion_f1
hybrid_budget_0,walking_running_subtype,running,36,0.9444444444444444,0.3238095238095238,0.9714285714285714
hybrid_budget_0,walking_running_subtype,walking,691,0.8118668596237337,0.2987220447284345,0.8961661341853036
hybrid_budget_0,transition_window,false,1666,0.7382953181272509,0.7540395739324879,0.7353723404255319
hybrid_budget_0,transition_window,true,105,0.6095238095238096,0.4629227053140097,0.7304347826086957
hybrid_budget_0,center_occluded,false,1735,0.732564841498559,0.7486885222575753,0.7347962382445141
hybrid_budget_0,center_occluded,true,36,0.6388888888888888,0.6055555555555555,0.75
hybrid_budget_0,window_any_occluded,false,1706,0.7327080890973037,0.7485223477468681,0.7353689567430025
hybrid_budget_0,window_any_occluded,true,65,0.676923076923077,0.6684851791234769,0.723404255319149
hybrid_budget_0,drone_view,drone_1,1058,0.7344045368620038,0.755698209199589,0.7329192546583851
hybrid_budget_0,drone_view,drone_2,713,0.7251051893408135,0.7305720641625926,0.7381316998468607
hybrid_budget_0,part_of_day,morning,524,0.6984732824427481,0.7086138981791157,0.5066666666666667
hybrid_budget_0,part_of_day,noon,1247,0.7441860465116279,0.7308625657303204,0.7869598180439727
hybrid_budget_0,scenario,1.8,227,0.7577092511013216,0.7740865571453807,0.592
hybrid_budget_0,scenario,1.9,297,0.6531986531986532,0.6546836478952484,0.4457142857142857
hybrid_budget_0,scenario,2.1,435,0.6919540229885057,0.704023389360447,0.7150259067357513
hybrid_budget_0,scenario,2.10,620,0.7629032258064516,0.725089043378428,0.8062678062678063
hybrid_budget_0,scenario,2.3,192,0.8020833333333334,0.7632809577254022,0.8484848484848485
hybrid_budget_0,person_scale,small,938,0.7643923240938166,0.7539200277360454,0.7976424361493124
hybrid_budget_0,person_scale,tiny,828,0.6908212560386473,0.7064249140152395,0.622673434856176
hybrid_budget_0.1,walking_running_subtype,not_applicable,1044,0.6867816091954023,0.5404941908034692,0.0
hybrid_budget_0.1,walking_running_subtype,running,36,0.9444444444444444,0.3238095238095238,0.9714285714285714
hybrid_budget_0.1,walking_running_subtype,walking,691,0.8191027496382055,0.3001856271546009,0.9005568814638027
hybrid_budget_0.1,transition_window,false,1666,0.7503001200480192,0.7652602209004186,0.7449933244325768
hybrid_budget_0.1,transition_window,true,105,0.638095238095238,0.443866041992018,0.7433628318584071
hybrid_budget_0.1,center_occluded,false,1735,0.7452449567723343,0.7605431126392211,0.7448015122873346
hybrid_budget_0.1,center_occluded,true,36,0.6666666666666666,0.6281512605042017,0.75
hybrid_budget_0.1,window_any_occluded,false,1706,0.7450175849941383,0.760135278560174,0.744721689059501
hybrid_budget_0.1,window_any_occluded,true,65,0.7076923076923077,0.6972514619883041,0.75
hybrid_budget_0.1,drone_view,drone_1,1058,0.7533081285444234,0.7745597818193101,0.7460815047021944
hybrid_budget_0.1,drone_view,drone_2,713,0.729312762973352,0.7336269042643467,0.7431192660550459
hybrid_budget_0.1,part_of_day,morning,524,0.7156488549618321,0.7196254006728089,0.5138888888888888
hybrid_budget_0.1,part_of_day,noon,1247,0.7554129911788292,0.7430473318691749,0.7951625094482238
hybrid_budget_0.1,scenario,1.8,227,0.775330396475771,0.7868683323228778,0.6115702479338843
hybrid_budget_0.1,scenario,1.9,297,0.67003367003367,0.6643712574850299,0.4431137724550898
hybrid_budget_0.1,scenario,2.1,435,0.7126436781609196,0.7231762277662668,0.7295918367346939
hybrid_budget_0.1,scenario,2.10,620,0.7661290322580645,0.7285323791577166,0.8102710413694721
hybrid_budget_0.1,scenario,2.3,192,0.8177083333333334,0.7832640926281321,0.8608695652173913
hybrid_budget_0.1,person_scale,small,938,0.7665245202558635,0.756566396459282,0.7992087042532147
hybrid_budget_0.1,person_scale,tiny,828,0.716183574879227,0.730652158984137,0.6474576271186441
hybrid_budget_0.25,walking_running_subtype,not_applicable,1044,0.6896551724137931,0.5413581380965845,0.0
hybrid_budget_0.25,walking_running_subtype,running,36,0.9722222222222222,0.3286384976525822,0.9859154929577464
hybrid_budget_0.25,walking_running_subtype,walking,691,0.8335745296671491,0.303078137332281,0.909234411996843
