family,axis,value,samples,accuracy_delta_vs_static,macro_f1_delta_vs_static,locomotion_f1_delta_vs_static
routing_student,drone_view,drone_2,713,0.008415147265077083,0.00635419205588339,0.023521572547059777
routing_student,part_of_day,morning,524,-0.03435114503816794,-0.02406215294565195,-0.022332419345429066
routing_student,part_of_day,noon,1247,0.012830793905372895,0.007102475694844346,0.019069208607488286
routing_student,person_scale,small,938,-0.006396588486140775,-0.013479765368237917,0.0007080575356415153
routing_student,person_scale,tiny,828,0.004830917874396157,0.009799903747370275,0.025714204009265385
routing_student,scenario,1.8,227,-0.03083700440528636,-0.021431960991663335,-0.015095338983050821
routing_student,scenario,1.9,297,-0.03703703703703709,-0.027148967828717896,-0.027520709854077785
routing_student,scenario,2.1,435,0.01379310344827589,0.013176162233919264,0.024686823637436794
routing_student,scenario,2.10,620,0.012903225806451646,0.002921660942101667,0.016827308651336415
routing_student,scenario,2.3,192,0.01041666666666663,0.0015015694967810411,0.01447044334975367
routing_student,transition_window,false,1666,0.0006002400960384291,-0.00018350285592527715,0.01171230408935331
routing_student,transition_window,true,105,-0.02857142857142858,-0.022108115818000262,-0.01754385964912286
routing_student,walking_running_subtype,not_applicable,1044,-0.03352490421455934,-0.013813396019374036,0.0
routing_student,walking_running_subtype,running,36,0.02777777777777779,0.004968944099378925,0.014906832298136607
routing_student,walking_running_subtype,walking,691,0.04630969609261937,0.009527256432793896,0.028581769298381632
routing_student,window_any_occluded,false,1706,-0.0017584994138335475,-0.0021595998058785426,0.008669414043295909
routing_student,window_any_occluded,true,65,0.01538461538461533,0.003587347509809713,0.042553191489361764
source_only_static,center_occluded,false,1735,-0.1579250720461095,-0.17349978861072524,-0.22169279657297358
source_only_static,center_occluded,true,36,-0.11111111111111116,-0.14660173160173157,-0.2914285714285715
source_only_static,drone_view,drone_1,1058,-0.11814744801512289,-0.13049161116634744,-0.17348799702251716
source_only_static,drone_view,drone_2,713,-0.21458625525946706,-0.23381279379277287,-0.3009728622631849
source_only_static,part_of_day,morning,524,-0.07442748091603058,-0.16602927239444498,-0.10523640061006612
source_only_static,part_of_day,noon,1247,-0.19165998396150763,-0.16556810224058283,-0.24991357079172472
source_only_static,person_scale,small,938,-0.1727078891257996,-0.15077280852264008,-0.21352583378333556
source_only_static,person_scale,tiny,828,-0.13888888888888884,-0.1997154817881035,-0.26660523544456144
source_only_static,scenario,1.8,227,-0.13215859030837007,-0.21441577349781427,-0.1432203389830508
source_only_static,scenario,1.9,297,-0.030303030303030387,-0.1269696227290158,-0.07903284012991696
source_only_static,scenario,2.1,435,-0.08735632183908049,-0.09315358893040848,-0.20760850292558958
source_only_static,scenario,2.10,620,-0.2758064516129033,-0.24205541185793805,-0.28351381789829333
source_only_static,scenario,2.3,192,-0.15625,-0.0932182463219614,-0.22429653679653683
source_only_static,transition_window,false,1666,-0.15906362545018005,-0.17470883137983861,-0.21895604395604396
source_only_static,transition_window,true,105,-0.12380952380952387,-0.0871027793762511,-0.2692982456140351
source_only_static,walking_running_subtype,not_applicable,1044,0.009578544061302763,-0.05367113802135337,0.0
source_only_static,walking_running_subtype,running,36,-0.25,-0.05217391304347829,-0.15652173913043477
source_only_static,walking_running_subtype,walking,691,-0.40376266280752543,-0.11028753050528078,-0.3308625915158422
source_only_static,window_any_occluded,false,1706,-0.16119577960140685,-0.17649090456120853,-0.22429753271990482
source_only_static,window_any_occluded,true,65,-0.04615384615384621,-0.0676789818920367,-0.16472203157172272
teacher,center_occluded,false,1735,0.04034582132564846,0.039046015071093176,0.04428863281466988
teacher,center_occluded,true,36,0.05555555555555547,0.04537296037296035,-0.027692307692307683
teacher,drone_view,drone_1,1058,0.03024574669187141,0.028929517693660478,0.03274170433248824
teacher,drone_view,drone_2,713,0.056100981767180924,0.05583709817381488,0.05860497721696456
teacher,part_of_day,morning,524,0.01717557251908397,0.008439738740819602,-0.007492039707810427
teacher,part_of_day,noon,1247,0.05052125100240579,0.04870657601991479,0.04966718793740321
teacher,person_scale,small,938,0.031982942430703654,0.03319493656307726,0.02820069168809891
teacher,person_scale,tiny,828,0.050724637681159424,0.04987082656128783,0.07005751426166651
teacher,scenario,1.8,227,0.03083700440528636,0.021513764321762663,0.01789077212806034
teacher,scenario,1.9,297,0.006734006734006703,-0.0022296416468662317,-0.022443115632523103
teacher,scenario,2.1,435,0.06896551724137934,0.0636183421579386,0.07155314040187033
teacher,scenario,2.10,620,0.03870967741935483,0.03269853366065101,0.041772660329361444
teacher,scenario,2.3,192,0.046875,0.05712429189243018,0.03920807453416142
teacher,transition_window,false,1666,0.04141656662665072,0.039732245682932654,0.045588845117147
teacher,transition_window,true,105,0.02857142857142858,0.031846359499689114,0.01113653699466055
teacher,walking_running_subtype,not_applicable,1044,0.025862068965517238,0.014206717223215981,0.0
teacher,walking_running_subtype,running,36,0.05555555555555558,0.009797917942437284,0.029393753827311575
teacher,walking_running_subtype,walking,691,0.06222865412445722,0.012691452437273099,0.03807435731181941
teacher,window_any_occluded,false,1706,0.041031652989449,0.04023307951010335,0.044101412746489266
teacher,window_any_occluded,true,65,0.03076923076923077,0.017050214578610112,0.013026487190620939
